state,year,blood_type,donations
W.P. Kuala Lumpur,2023,a,51695
W.P. Kuala Lumpur,2023,ab,10513
W.P. Kuala Lumpur,2023,b,56008
W.P. Kuala Lumpur,2023,o,88057
All States,2006,a,55038
All States,2006,ab,14763
All States,2006,b,59595
All States,2006,o,89492
All States,2007,a,69590
All States,2007,ab,18459
All States,2007,b,76382
All States,2007,o,114941
All States,2008,a,86356
All States,2008,ab,22959
All States,2008,b,95708
All States,2008,o,143340
All States,2009,a,96037
All States,2009,ab,25269
All States,2009,b,105113
All States,2009,o,158857
All States,2010,a,97387
All States,2010,ab,26006
All States,2010,b,107653
All States,2010,o,162109
All States,2011,a,103839
All States,2011,ab,27102
All States,2011,b,114135
All States,2011,o,171668
All States,2012,a,106611
